endpoint	stratum	baseline_model	n_samples	target_AUROC	baseline_AUROC	delta_AUROC	bootstrap_mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
primary_recist	melanoma_anti_pd1_primary	IFNG	160	0.5060895325872284	0.619486504279131	-0.11339697169190255	-0.1143135127743984	-0.2108622836405916	-0.020939944362624776	0.022	0.0432	not_superior
primary_recist	melanoma_anti_pd1_primary	CXCL9	160	0.5060895325872284	0.6254114549045425	-0.11932192231731409	-0.11976212156622278	-0.21632033781208304	-0.026319907254896913	0.014	0.040499999999999994	not_superior
primary_recist	melanoma_anti_pd1_primary	TIG	160	0.5060895325872284	0.6259052007899935	-0.11981566820276501	-0.12052341937563632	-0.21236222109533467	-0.031618310175926465	0.014	0.040499999999999994	not_superior
primary_recist	melanoma_anti_pd1_primary	TIDE_dysfunction	160	0.5060895325872284	0.6120803159973667	-0.10599078341013823	-0.10779849314432544	-0.19817442489598677	-0.017986430964556543	0.018	0.040499999999999994	not_superior
primary_recist	melanoma_anti_pd1_primary	APM	160	0.5060895325872284	0.6137261356155366	-0.10763660302830813	-0.1083403274076222	-0.20369793202309688	-0.011168673982974012	0.03	0.049090909090909095	not_superior
primary_recist	melanoma_anti_pd1_primary	CYT	160	0.5060895325872284	0.6076366030283081	-0.10154707044107969	-0.10317812030085592	-0.1993162605435801	-0.014826580360022748	0.024	0.0432	not_superior
primary_recist	melanoma_anti_pd1_primary	IPRES	160	0.5060895325872284	0.5146477946017116	-0.008558262014483176	-0.009966364803013966	-0.14420601062717997	0.12554224917763152	0.892	1.0	not_superior
primary_recist	melanoma_anti_pd1_primary	TIDE_exclusion	160	0.5060895325872284	0.499341672152732	0.006747860434496433	0.005677536277106216	-0.13240661256477665	0.14142695658154839	0.936	1.0	point_estimate_only
primary_recist	melanoma_recist_supported_primary	IFNG	131	0.5007352941176471	0.6397058823529411	-0.13897058823529407	-0.13727963614878036	-0.22688787144493996	-0.04380711135681971	0.004	0.008	not_superior
primary_recist	melanoma_recist_supported_primary	CXCL9	131	0.5007352941176471	0.649264705882353	-0.1485294117647059	-0.14723929361442362	-0.23555684567005333	-0.054947955221553116	0.004	0.008	not_superior
primary_recist	melanoma_recist_supported_primary	TIG	131	0.5007352941176471	0.6443627450980393	-0.1436274509803922	-0.14201654767396404	-0.23385970162199668	-0.047360062120700326	0.0	0.0	not_superior
primary_recist	melanoma_recist_supported_primary	TIDE_dysfunction	131	0.5007352941176471	0.6455882352941177	-0.14485294117647063	-0.14311649761825868	-0.23382158831796696	-0.05261812637728689	0.002	0.006000000000000001	not_superior
primary_recist	melanoma_recist_supported_primary	APM	131	0.5007352941176471	0.6419117647058823	-0.14117647058823524	-0.13930101393184013	-0.2405495035698349	-0.04077660346478088	0.004	0.008	not_superior
primary_recist	melanoma_recist_supported_primary	CYT	131	0.5007352941176471	0.6242647058823529	-0.12352941176470589	-0.12259307439572781	-0.21641243646605596	-0.02302847826206553	0.014	0.0252	not_superior
primary_recist	melanoma_recist_supported_primary	IPRES	131	0.5007352941176471	0.5732843137254903	-0.07254901960784321	-0.07418346739413635	-0.20851691518358187	0.0668411285065635	0.308	0.3696	not_superior
primary_recist	melanoma_recist_supported_primary	TIDE_exclusion	131	0.5007352941176471	0.5392156862745099	-0.03848039215686283	-0.03944978733080135	-0.1823760732446026	0.1038223870056497	0.568	0.6014117647058823	not_superior
primary_recist	melanoma_core_high_evidence	IFNG	117	0.5590823381521056	0.6643620364550596	-0.10527969830295403	-0.10847814561565328	-0.23735777369498298	0.015008154706430504	0.096	0.228	not_superior
