endpoint	stratum	ablation_model	n_samples	full_AUROC	ablation_AUROC	delta_AUROC	full_AUPRC	ablation_AUPRC	full_ECE	ablation_ECE	bootstrap_mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordUnsignedGraph	160	0.4549019607843138	0.552	-0.09709803921568627	0.4924718290670706	0.5918763624914954	0.23135756350104134	0.13206166798380795	-0.09604163241084071	-0.18556109022556394	-0.004966635015459879	0.038	0.08836363636363637	component_not_supported
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordNoInteraction	160	0.4549019607843138	0.5253333333333334	-0.07043137254901966	0.4924718290670706	0.5739085807001892	0.23135756350104134	0.1290501887186202	-0.07026420595105079	-0.148258556547619	0.002906346094213759	0.064	0.08861538461538462	component_not_supported
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordNoBioObjective	160	0.4549019607843138	0.4549019607843138	0.0	0.4924718290670706	0.4924718290670706	0.23135756350104134	0.23135756350104134	0.0	0.0	0.0	1.0	1.0	component_not_supported
clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordNoInteraction	29	0.5959595959595959	0.6767676767676768	-0.08080808080808088	0.5123501572699434	0.5905092946269417	0.21906259352366797	0.11690097447976923	-0.08185892778166032	-0.2	0.029851190476190403	0.174	0.7128	component_not_supported
clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordNoBioObjective	29	0.5959595959595959	0.5959595959595959	0.0	0.5123501572699434	0.5123501572699434	0.21906259352366797	0.21906259352366797	0.0	0.0	0.0	1.0	1.0	component_not_supported
clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordUnsignedGraph	29	0.5959595959595959	0.5404040404040404	0.05555555555555547	0.5123501572699434	0.4095937828628512	0.21906259352366797	0.21646742319296142	0.060069068470490934	-0.15014610389610392	0.26924019607843125	0.584	0.756	point_estimate_component_gain
clinical_benefit	melanoma_core_high_evidence	EcoNiche-Opt-WordNoInteraction	117	0.5174556213017751	0.5798816568047338	-0.062426035502958666	0.5756741122855475	0.645492412551462	0.23851013810755087	0.13311678405351043	-0.06223691273402139	-0.11734270948945616	-0.003948397265871426	0.034	0.23399999999999999	component_not_supported
clinical_benefit	melanoma_core_high_evidence	EcoNiche-Opt-WordUnsignedGraph	117	0.5174556213017751	0.5529585798816568	-0.035502958579881616	0.5756741122855475	0.6206771034784702	0.23851013810755087	0.2266746761039228	-0.03641289147708931	-0.087287021360902	0.0186244574851763	0.182	0.4200000000000001	component_not_supported
clinical_benefit	melanoma_core_high_evidence	EcoNiche-Opt-WordNoBioObjective	117	0.5174556213017751	0.5174556213017751	0.0	0.5756741122855475	0.5756741122855475	0.23851013810755087	0.23851013810755087	0.0	0.0	0.0	1.0	1.0	component_not_supported
clinical_benefit	melanoma_core_plus_phs000452	EcoNiche-Opt-WordNoInteraction	238	0.5086680459442107	0.5468359848755083	-0.03816793893129766	0.5656043157196298	0.5900260944280148	0.11355482149081556	0.09916900801064304	-0.03845772945703813	-0.08971640300610965	0.015236052375380444	0.14	0.21000000000000005	component_not_supported
clinical_benefit	melanoma_core_plus_phs000452	EcoNiche-Opt-WordNoBioObjective	238	0.5086680459442107	0.5086680459442107	0.0	0.5656043157196298	0.5656043157196298	0.11355482149081556	0.11355482149081556	0.0	0.0	0.0	1.0	1.0	component_not_supported
clinical_benefit	melanoma_core_plus_phs000452	EcoNiche-Opt-WordUnsignedGraph	238	0.5086680459442107	0.4684311906970108	0.04023685524719989	0.5656043157196298	0.5309067348288897	0.11355482149081556	0.13244657334852025	0.04126259389859396	-0.020692169441698882	0.1027279467607258	0.202	0.26999999999999996	point_estimate_component_gain
clinical_benefit	melanoma_recist_supported_primary	EcoNiche-Opt-WordUnsignedGraph	131	0.5149359886201992	0.5642484589853012	-0.049312470365102	0.5806244910779776	0.6116432002497464	0.1985364845371237	0.15986691334116124	-0.05007343034421686	-0.12202857896983167	0.015743003774279667	0.158	0.3996	component_not_supported
clinical_benefit	melanoma_recist_supported_primary	EcoNiche-Opt-WordNoInteraction	131	0.5149359886201992	0.5528686581318161	-0.03793266951161689	0.5806244910779776	0.6436338665216528	0.1985364845371237	0.14119353118977876	-0.03852116420389316	-0.1155170805972664	0.0411877286799887	0.316	0.42942857142857144	component_not_supported
