endpoint	stratum	threshold_policy	selection_boundary	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	tn	fp	fn	tp	n_samples	n_responders	n_nonresponders	response_prevalence	threshold_min	threshold_median	threshold_max	n_predicted_high	AUPRC_minus_prevalence	selected_policies
primary_recist	melanoma_core_high_evidence	original_fold_threshold	outer_lodo_training_threshold_from_source_pipeline	0.7049025769956003	0.5584727461504684	0.6131363922061597	0.6153846153846154	0.21883422945563896	0.5360824742268041	0.6046511627906976	0.6216216216216216	0.48148148148148145	0.7301587301587301	0.250038321836014	0.2348619118541941	0.34458391126365906	-0.6044426196350922	46	28	17	26	117	43	74	0.36752136752136755	0.4098010472881599	0.4360491969306495	0.7106589134139443	54	0.19095137862910083	
primary_recist	melanoma_core_high_evidence	fixed_0.40	outer_lodo_training_cohorts_only	0.7049025769956003	0.5584727461504684	0.6877749842866122	0.6666666666666666	0.3627777376494022	0.6285714285714286	0.7674418604651163	0.6081081081081081	0.532258064516129	0.8181818181818182	0.250038321836014	0.23486191185419414	0.344583911263659	-0.6044426196350922	45	29	10	33	117	43	74	0.36752136752136755	0.4	0.4	0.4	62	0.19095137862910083	fixed_0.40
primary_recist	melanoma_core_high_evidence	fixed_0.50	outer_lodo_training_cohorts_only	0.7049025769956003	0.5584727461504684	0.6315210559396606	0.6324786324786325	0.25439479174218027	0.5567010309278351	0.627906976744186	0.6351351351351351	0.5	0.746031746031746	0.250038321836014	0.23486191185419414	0.344583911263659	-0.6044426196350922	47	27	16	27	117	43	74	0.36752136752136755	0.5	0.5	0.5	54	0.19095137862910083	fixed_0.50
primary_recist	melanoma_core_high_evidence	fixed_0.60	outer_lodo_training_cohorts_only	0.7049025769956003	0.5584727461504684	0.6536769327467002	0.6666666666666666	0.30126147844938245	0.5714285714285714	0.6046511627906976	0.7027027027027027	0.5416666666666666	0.7536231884057971	0.250038321836014	0.23486191185419414	0.344583911263659	-0.6044426196350922	52	22	17	26	117	43	74	0.36752136752136755	0.6	0.6	0.6	48	0.19095137862910083	fixed_0.60
primary_recist	melanoma_core_high_evidence	training_youden	outer_lodo_training_cohorts_only	0.7049025769956003	0.5584727461504684	0.6131363922061597	0.6153846153846154	0.21883422945563896	0.5360824742268041	0.6046511627906976	0.6216216216216216	0.48148148148148145	0.7301587301587301	0.250038321836014	0.23486191185419414	0.344583911263659	-0.6044426196350922	46	28	17	26	117	43	74	0.36752136752136755	0.4138877511865729	0.4235040555983421	0.7187385845771243	54	0.19095137862910083	training_youden
primary_recist	melanoma_core_high_evidence	training_prevalence_quantile	outer_lodo_training_cohorts_only	0.7049025769956003	0.5584727461504684	0.6004085480829666	0.6239316239316239	0.1990115422935541	0.5	0.5116279069767442	0.6891891891891891	0.4888888888888889	0.7083333333333334	0.250038321836014	0.23486191185419414	0.344583911263659	-0.6044426196350922	51	23	21	22	117	43	74	0.36752136752136755	0.4636907515735586	0.722460086876136	0.7462878527125606	45	0.19095137862910083	training_prevalence_quantile
primary_recist	melanoma_core_high_evidence	nested_midrange_fixed_grid	outer_lodo_training_cohorts_only	0.7049025769956003	0.5584727461504684	0.6877749842866122	0.6666666666666666	0.3627777376494022	0.6285714285714286	0.7674418604651163	0.6081081081081081	0.532258064516129	0.8181818181818182	0.250038321836014	0.23486191185419414	0.344583911263659	-0.6044426196350922	45	29	10	33	117	43	74	0.36752136752136755	0.4	0.4	0.4	62	0.19095137862910083	fixed_0.40
primary_recist	melanoma_recist_supported_primary	original_fold_threshold	outer_lodo_training_threshold_from_source_pipeline	0.6845588235294118	0.5804730202048082	0.5941176470588235	0.5954198473282443	0.18382761318786953	0.5309734513274337	0.5882352941176471	0.6	0.4838709677419355	0.6956521739130435	0.2599313770648727	0.23858416431842683	0.3140888852438914	-0.4888824417688474	48	32	21	30	131	51	80	0.3893129770992366	0.368668376493705	0.4209547786696646	0.6731694744274304	62	0.19116004310557155	
primary_recist	melanoma_recist_supported_primary	fixed_0.40	outer_lodo_training_cohorts_only	0.6845588235294118	0.5804730202048082	0.6466911764705883	0.6335877862595419	0.286512568992031	0.6	0.7058823529411765	0.5875	0.5217391304347826	0.7580645161290323	0.2599313770648727	0.2385841643184268	0.31408888524389134	-0.48888244176884743	47	33	15	36	131	51	80	0.3893129770992366	0.4	0.4	0.4	69	0.19116004310557155	fixed_0.40
primary_recist	melanoma_recist_supported_primary	fixed_0.50	outer_lodo_training_cohorts_only	0.6845588235294118	0.5804730202048082	0.6128676470588235	0.6183206106870229	0.22122657444712313	0.5454545454545454	0.5882352941176471	0.6375	0.5084745762711864	0.7083333333333334	0.2599313770648727	0.2385841643184268	0.31408888524389134	-0.48888244176884743	51	29	21	30	131	51	80	0.3893129770992366	0.5	0.5	0.5	59	0.19116004310557155	fixed_0.50
