endpoint	stratum	method	axis	model_name	selection_boundary	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	threshold	n_samples	n_responders	n_nonresponders	response_prevalence	AUPRC_minus_prevalence
primary_recist	melanoma_core_high_evidence	cohort_gene_percentile	MAP4K1_minus_TBX3	EcoNiche-Opt-MAP4K1_minus_TBX3-cohort_gene_percentile	outer_lodo_training_threshold_only	0.720144563167819	0.619038387503657	0.6844751728472659	0.7350427350427351	0.4222853443417641	0.6265060240963856	0.6046511627906976	0.8108108108108109	0.65	0.7792207792207793	0.23687232026001026	0.2082179108002583	0.15518848238388708	-0.6002258919518244	0.6507936507936508	117	43	74	0.36752136752136755	0.2515170199822895
primary_recist	melanoma_core_high_evidence	cohort_gene_percentile	MAP4K1_minus_TBX3_AXL	EcoNiche-Opt-MAP4K1_minus_TBX3_AXL-cohort_gene_percentile	outer_lodo_training_threshold_only	0.7847265870521685	0.6926442778363515	0.7253299811439347	0.7521367521367521	0.48146389654027066	0.6813186813186813	0.7209302325581395	0.7702702702702703	0.6458333333333334	0.8260869565217391	0.19301625220441188	0.13640275851143552	0.38106886581897736	-0.48351129234686413	0.5294117647058824	117	43	74	0.36752136752136755	0.32512291031498397
primary_recist	melanoma_core_high_evidence	cohort_gene_percentile	MAP4K1_minus_TBX3_PAK4	EcoNiche-Opt-MAP4K1_minus_TBX3_PAK4-cohort_gene_percentile	outer_lodo_training_threshold_only	0.666090509113765	0.5319101767935563	0.555311125078567	0.5811965811965812	0.2757767158101451	0.5950413223140496	0.8372093023255814	0.43243243243243246	0.46153846153846156	0.8205128205128205	0.23786684485260143	0.14082464126677918	0.2011596918551208	-0.5404896387955875	0.3274921630094044	117	43	74	0.36752136752136755	0.1643888092721888
primary_recist	melanoma_core_high_evidence	cohort_gene_percentile	MAP4K1_CXCL9_minus_TBX3	EcoNiche-Opt-MAP4K1_CXCL9_minus_TBX3-cohort_gene_percentile	outer_lodo_training_threshold_only	0.7038026398491515	0.5879569974119658	0.6334066624764298	0.6752136752136753	0.3475987528105151	0.6122448979591837	0.6976744186046512	0.6621621621621622	0.5454545454545454	0.7903225806451613	0.2370669891446149	0.1909846236895518	0.1352370657632162	-0.5728034010663733	0.5764705882352941	117	43	74	0.36752136752136755	0.22043562989059828
primary_recist	melanoma_core_high_evidence	cohort_gene_percentile	MAP4K1_APM_minus_TBX3	EcoNiche-Opt-MAP4K1_APM_minus_TBX3-cohort_gene_percentile	outer_lodo_training_threshold_only	0.6858893777498428	0.5491858934447132	0.6033940917661849	0.6837606837606838	0.3373019620675601	0.5934065934065934	0.627906976744186	0.7162162162162162	0.5625	0.7681159420289855	0.2518447689615278	0.2204998953083244	0.13593052953063756	-0.5938031503367895	0.6428188131313132	117	43	74	0.36752136752136755	0.1816645259233457
primary_recist	melanoma_core_high_evidence	cohort_zscore	MAP4K1_minus_TBX3	EcoNiche-Opt-MAP4K1_minus_TBX3-cohort_zscore	outer_lodo_training_threshold_only	0.6920175989943432	0.6169853166213798	0.4952859836580767	0.6153846153846154	0.2562212640804146	0.5714285714285714	0.6976744186046512	0.5675675675675675	0.4838709677419355	0.7636363636363637	0.22128020048485708	0.14306724291403752	0.21617795174728568	-0.5398844279248488	0.4518137395932552	117	43	74	0.36752136752136755	0.24946394910001224
primary_recist	melanoma_core_high_evidence	cohort_zscore	MAP4K1_minus_TBX3_AXL	EcoNiche-Opt-MAP4K1_minus_TBX3_AXL-cohort_zscore	outer_lodo_training_threshold_only	0.7787554996857322	0.6700483519045577	0.7223444374607165	0.7692307692307693	0.4970317668651929	0.6746987951807228	0.6511627906976745	0.8378378378378378	0.7	0.8051948051948052	0.18509617064478742	0.114325454590973	0.3799394310689163	-0.39455561589677157	0.4645001643467606	117	43	74	0.36752136752136755	0.30252698438319015
primary_recist	melanoma_core_high_evidence	cohort_zscore	MAP4K1_minus_TBX3_PAK4	EcoNiche-Opt-MAP4K1_minus_TBX3_PAK4-cohort_zscore	outer_lodo_training_threshold_only	0.6385920804525456	0.5284445994715461	0.518541797611565	0.5982905982905983	0.2518322051485965	0.5765765765765766	0.7441860465116279	0.5135135135135135	0.47058823529411764	0.7755102040816326	0.2272515214778688	0.11871182495598338	0.16011276536650274	-0.458923452636162	0.3224035040574412	117	43	74	0.36752136752136755	0.16092323195017855
primary_recist	melanoma_core_high_evidence	cohort_zscore	MAP4K1_CXCL9_minus_TBX3	EcoNiche-Opt-MAP4K1_CXCL9_minus_TBX3-cohort_zscore	outer_lodo_training_threshold_only	0.6989314896291641	0.6165149857240264	0.6244500314267756	0.7264957264957265	0.381919024416143	0.5428571428571428	0.4418604651162791	0.8918918918918919	0.7037037037037037	0.7333333333333333	0.23201631801579523	0.1691866856116397	0.1322545735621627	-0.5651642852285855	0.6800579635048731	117	43	74	0.36752136752136755	0.24899361820265886
primary_recist	melanoma_core_high_evidence	cohort_zscore	MAP4K1_APM_minus_TBX3	EcoNiche-Opt-MAP4K1_APM_minus_TBX3-cohort_zscore	outer_lodo_training_threshold_only	0.693274670018856	0.5675118721473553	0.5977372721558768	0.6752136752136753	0.3564873972736845	0.62	0.7209302325581395	0.6486486486486487	0.543859649122807	0.8	0.2644755045314957	0.2584019686775068	0.22129996725998424	-0.6722769249603399	0.624042820775628	117	43	74	0.36752136752136755	0.19999050462598778
