endpoint	stratum	method	axis	model_name	selection_boundary	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	threshold	n_samples	n_responders	n_nonresponders	response_prevalence	AUPRC_minus_prevalence
strict_recist	strict_melanoma_pd1_like_external	cohort_gene_percentile	MAP4K1_minus_TBX3	EcoNiche-Opt-MAP4K1_minus_TBX3-cohort_gene_percentile	discovery_only_threshold_current_external_stress	0.6532738095238095	0.6606914359748829	0.5946428571428571	0.603448275862069	0.22103809307443242	0.4523809523809524	0.3392857142857143	0.85	0.6785714285714286	0.5795454545454546	0.24243101444503307	0.1189753479623824	0.45144630827600046	-0.11026136689861285	0.7045454545454545	116	56	60	0.4827586206896552	0.1779328152852277
strict_recist	strict_melanoma_pd1_like_external	cohort_gene_percentile	MAP4K1_minus_TBX3_AXL	EcoNiche-Opt-MAP4K1_minus_TBX3_AXL-cohort_gene_percentile	discovery_only_threshold_current_external_stress	0.6605654761904762	0.6102916193311602	0.6339285714285714	0.6293103448275862	0.2771259614786443	0.6666666666666666	0.7678571428571429	0.5	0.589041095890411	0.6976744186046512	0.25316548192021576	0.16157585193579205	0.16997698887514762	-0.1562653846264858	0.5252083333333333	116	56	60	0.4827586206896552	0.12753299864150497
strict_recist	strict_melanoma_pd1_like_external	cohort_gene_percentile	MAP4K1_minus_TBX3_PAK4	EcoNiche-Opt-MAP4K1_minus_TBX3_PAK4-cohort_gene_percentile	discovery_only_threshold_current_external_stress	0.65625	0.6489075968244339	0.625	0.6206896551724138	0.25746432527221863	0.65625	0.75	0.5	0.5833333333333334	0.6818181818181818	0.24332051324644577	0.12009926907920825	0.19693818879089667	0.003740798386254637	0.3365384615384616	116	56	60	0.4827586206896552	0.1661489761347787
strict_recist	strict_melanoma_pd1_like_external	cohort_gene_percentile	MAP4K1_CXCL9_minus_TBX3	EcoNiche-Opt-MAP4K1_CXCL9_minus_TBX3-cohort_gene_percentile	discovery_only_threshold_current_external_stress	0.6370535714285714	0.6693884194604703	0.6077380952380952	0.6120689655172413	0.22293244012282057	0.5454545454545454	0.48214285714285715	0.7333333333333333	0.627906976744186	0.6027397260273972	0.243930558429158	0.1464283128525449	0.4187713573085028	-0.062139279114180865	0.5847058823529411	116	56	60	0.4827586206896552	0.18662979877081515
strict_recist	strict_melanoma_pd1_like_external	cohort_gene_percentile	MAP4K1_APM_minus_TBX3	EcoNiche-Opt-MAP4K1_APM_minus_TBX3-cohort_gene_percentile	discovery_only_threshold_current_external_stress	0.6354166666666666	0.6220764282341718	0.5827380952380953	0.5862068965517241	0.16903522539352292	0.5294117647058824	0.48214285714285715	0.6833333333333333	0.5869565217391305	0.5857142857142857	0.25174280502968005	0.138655535981818	0.3375781768717598	-0.07255221712265601	0.58984375	116	56	60	0.4827586206896552	0.13931780754451656
strict_recist	strict_melanoma_pd1_like_external	cohort_zscore	MAP4K1_minus_TBX3	EcoNiche-Opt-MAP4K1_minus_TBX3-cohort_zscore	discovery_only_threshold_current_external_stress	0.6470238095238096	0.6671070924868088	0.6035714285714285	0.603448275862069	0.20701966780270628	0.5964912280701754	0.6071428571428571	0.6	0.5862068965517241	0.6206896551724138	0.2351829335216807	0.11561519533517577	0.5849193622312311	0.1290915670825813	0.4482559808943305	116	56	60	0.4827586206896552	0.18434847179715358
strict_recist	strict_melanoma_pd1_like_external	cohort_zscore	MAP4K1_minus_TBX3_AXL	EcoNiche-Opt-MAP4K1_minus_TBX3_AXL-cohort_zscore	discovery_only_threshold_current_external_stress	0.6794642857142857	0.6837420163322454	0.6017857142857144	0.603448275862069	0.20454779594064518	0.5740740740740741	0.5535714285714286	0.65	0.5961538461538461	0.609375	0.22933119989140874	0.06882341269069966	0.6548856213458903	0.11279576751188669	0.4547186239664868	116	56	60	0.4827586206896552	0.2009833956425902
strict_recist	strict_melanoma_pd1_like_external	cohort_zscore	MAP4K1_minus_TBX3_PAK4	EcoNiche-Opt-MAP4K1_minus_TBX3_PAK4-cohort_zscore	discovery_only_threshold_current_external_stress	0.6308035714285714	0.6347014198659742	0.569047619047619	0.5689655172413793	0.13801311186847084	0.5614035087719298	0.5714285714285714	0.5666666666666667	0.5517241379310345	0.5862068965517241	0.25621944830375115	0.14438517767114	0.16127209437011228	0.05026728259736504	0.3247885870048549	116	56	60	0.4827586206896552	0.15194279917631898
strict_recist	strict_melanoma_pd1_like_external	cohort_zscore	MAP4K1_CXCL9_minus_TBX3	EcoNiche-Opt-MAP4K1_CXCL9_minus_TBX3-cohort_zscore	discovery_only_threshold_current_external_stress	0.6409226190476192	0.6818627037673942	0.5892857142857143	0.603448275862069	0.317927927549473	0.30303030303030304	0.17857142857142858	1.0	1.0	0.5660377358490566	0.2400900468207334	0.11452833436801246	0.15179622421961633	-0.006820986892853279	0.6856116367574645	116	56	60	0.4827586206896552	0.19910408307773902
strict_recist	strict_melanoma_pd1_like_external	cohort_zscore	MAP4K1_APM_minus_TBX3	EcoNiche-Opt-MAP4K1_APM_minus_TBX3-cohort_zscore	discovery_only_threshold_current_external_stress	0.6376488095238095	0.6285012001340462	0.6238095238095238	0.6293103448275862	0.26192443845803	0.5473684210526316	0.4642857142857143	0.7833333333333333	0.6666666666666666	0.6103896103896104	0.24665555067416037	0.11392531233083007	0.16148946730748776	-0.07633530177564761	0.6237567519036065	116	56	60	0.4827586206896552	0.145742579444391
strict_recist	strict_melanoma_pd1_like_external	cohort_robust_zscore	MAP4K1_minus_TBX3	EcoNiche-Opt-MAP4K1_minus_TBX3-cohort_robust_zscore	discovery_only_threshold_current_external_stress	0.6639880952380953	0.6869068220015845	0.6017857142857144	0.603448275862069	0.20454779594064518	0.5740740740740741	0.5535714285714286	0.65	0.5961538461538461	0.609375	0.23004260540826849	0.09324188388066498	0.6872235474321093	0.18178327271736464	0.4443237860611114	116	56	60	0.4827586206896552	0.2041482013119293
strict_recist	strict_melanoma_pd1_like_external	cohort_robust_zscore	MAP4K1_minus_TBX3_AXL	EcoNiche-Opt-MAP4K1_minus_TBX3_AXL-cohort_robust_zscore	discovery_only_threshold_current_external_stress	0.6860119047619048	0.6897968225599096	0.6244047619047619	0.6206896551724138	0.2541608784693978	0.6507936507936508	0.7321428571428571	0.5166666666666667	0.5857142857142857	0.6739130434782609	0.22680952968653734	0.09744618262563451	0.7031471781743676	0.1746881053578327	0.3746128940154562	116	56	60	0.4827586206896552	0.2070382018702544
strict_recist	strict_melanoma_pd1_like_external	cohort_robust_zscore	MAP4K1_minus_TBX3_PAK4	EcoNiche-Opt-MAP4K1_minus_TBX3_PAK4-cohort_robust_zscore	discovery_only_threshold_current_external_stress	0.6510416666666667	0.652185148180022	0.6071428571428572	0.603448275862069	0.21889453648082105	0.6349206349206349	0.7142857142857143	0.5	0.5714285714285714	0.6521739130434783	0.25060466933526643	0.13431878307168063	0.17440428726883894	0.054755395871449314	0.2953012276213383	116	56	60	0.4827586206896552	0.16942652749036685
