endpoint	cohort	model_name	threshold_policy	threshold	claim_status	n_samples	n_responders	n_nonresponders	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept
strict_recist	GSE145996	EcoNiche-Opt-HeuristicEcology-LockedPanel	discovery_youden	0.39077794189971365	locked_primary	13	8	5	0.575	0.7723099816849817	0.3875	0.38461538461538464	-0.21957751641341997	0.42857142857142855	0.375	0.4	0.5	0.2857142857142857	0.3172118189403036	0.3697105392890441	0.2887579809668471	0.580429371904649
strict_recist	PHS000452_LIU_LIKE_PRE	EcoNiche-Opt-HeuristicEcology-LockedPanel	discovery_youden	0.39077794189971365	locked_primary	103	48	55	0.5731060606060606	0.5787465694242914	0.5617424242424243	0.5631067961165048	0.12334476352939013	0.5360824742268041	0.5416666666666666	0.5818181818181818	0.5306122448979592	0.5925925925925926	0.31953534325436284	0.26558137383762903	0.14702087454878315	-0.12637054358979427
strict_recist	GSE145996+PHS000452_LIU_LIKE_PRE	EcoNiche-Opt-HeuristicEcology-LockedPanel	discovery_youden	0.39077794189971365	locked_primary	116	56	60	0.5711309523809525	0.6000889801278199	0.5422619047619048	0.5431034482758621	0.08458676953963362	0.5225225225225225	0.5178571428571429	0.5666666666666667	0.5272727272727272	0.5573770491803278	0.3192749482881321	0.2612959989566861	0.1561078161647438	-0.055609318992563765
strict_recist	GSE145996	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_probability_0_5	0.5	locked_primary	13	8	5	0.575	0.7723099816849817	0.5875	0.5384615384615384	0.18446619684315546	0.5	0.375	0.8	0.75	0.4444444444444444	0.3172118189403036	0.3697105392890441	0.2887579809668471	0.580429371904649
strict_recist	PHS000452_LIU_LIKE_PRE	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_probability_0_5	0.5	locked_primary	103	48	55	0.5731060606060606	0.5787465694242914	0.5278409090909091	0.5339805825242718	0.05652307865171762	0.4666666666666667	0.4375	0.6181818181818182	0.5	0.5573770491803278	0.31953534325436284	0.26558137383762903	0.14702087454878315	-0.12637054358979427
strict_recist	GSE145996+PHS000452_LIU_LIKE_PRE	EcoNiche-Opt-HeuristicEcology-LockedPanel	fixed_probability_0_5	0.5	locked_primary	116	56	60	0.5711309523809525	0.6000889801278199	0.530952380952381	0.5344827586206896	0.06323619942779275	0.47058823529411764	0.42857142857142855	0.6333333333333333	0.5217391304347826	0.5428571428571428	0.3192749482881321	0.2612959989566861	0.1561078161647438	-0.055609318992563765
strict_recist	GSE145996	EcoNiche-Opt-PD1LikeTransferHead	discovery_youden	0.43179023673026123	secondary_model_development_rescue	13	8	5	0.575	0.7597537878787879	0.45	0.46153846153846156	-0.09759000729485333	0.5333333333333333	0.5	0.4	0.5714285714285714	0.3333333333333333	0.24147861527575393	0.12654339642745133	1.1765274583705074	0.5598355364743072
strict_recist	PHS000452_LIU_LIKE_PRE	EcoNiche-Opt-PD1LikeTransferHead	discovery_youden	0.43179023673026123	secondary_model_development_rescue	103	48	55	0.5973484848484849	0.6151132967076572	0.5229166666666667	0.5145631067961165	0.04713691074625972	0.5535714285714286	0.6458333333333334	0.4	0.484375	0.5641025641025641	0.2415431348925524	0.16212016378097932	0.7683114366615312	-0.09850279352574239
strict_recist	GSE145996+PHS000452_LIU_LIKE_PRE	EcoNiche-Opt-PD1LikeTransferHead	discovery_youden	0.43179023673026123	secondary_model_development_rescue	116	56	60	0.5952380952380951	0.6269079627979104	0.5125	0.5086206896551724	0.025637413974602907	0.5511811023622047	0.625	0.4	0.49295774647887325	0.5333333333333333	0.2415359042458422	0.14499609824034138	0.7912261421679782	-0.028736891886128543
strict_recist	GSE145996	EcoNiche-Opt-PD1LikeTransferHead	fixed_probability_0_5	0.5	secondary_model_development_rescue	13	8	5	0.575	0.7597537878787879	0.65	0.6153846153846154	0.3	0.6153846153846154	0.5	0.8	0.8	0.5	0.24147861527575393	0.12654339642745133	1.1765274583705074	0.5598355364743072
strict_recist	PHS000452_LIU_LIKE_PRE	EcoNiche-Opt-PD1LikeTransferHead	fixed_probability_0_5	0.5	secondary_model_development_rescue	103	48	55	0.5973484848484849	0.6151132967076572	0.6267045454545455	0.6310679611650486	0.2555476021635982	0.5869565217391305	0.5625	0.6909090909090909	0.6136363636363636	0.6440677966101694	0.2415431348925524	0.16212016378097932	0.7683114366615312	-0.09850279352574239
strict_recist	GSE145996+PHS000452_LIU_LIKE_PRE	EcoNiche-Opt-PD1LikeTransferHead	fixed_probability_0_5	0.5	secondary_model_development_rescue	116	56	60	0.5952380952380951	0.6269079627979104	0.6267857142857143	0.6293103448275862	0.25652784611801854	0.5904761904761905	0.5535714285714286	0.7	0.6326530612244898	0.6268656716417911	0.2415359042458422	0.14499609824034138	0.7912261421679782	-0.028736891886128543
