mean_delta	ci_low	ci_high	p_value	endpoint	stratum	comparison	baseline_model	n_samples	target_AUROC	baseline_AUROC	target_AUPRC	baseline_AUPRC	target_ECE	baseline_ECE	is_strong_baseline	status	fdr_q
-0.02349678151221654	-0.14988248891026662	0.10392452161587519	0.708	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-ModulePriorFixed	EcoNiche-Opt-ModulePriorFixed	117	0.6866750471401635	0.7049025769956003	0.5658630078393804	0.5584727461504684	0.28461297679096553	0.2348619118541941	True	computed_from_matched_predictions	0.9359999999999999
-0.014603955263703134	-0.04000676072898299	0.010932290074780474	0.214	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-WordNoInteraction	EcoNiche-Opt-WordNoInteraction	117	0.6866750471401635	0.7011313639220617	0.5658630078393804	0.5929303984825222	0.28461297679096553	0.2663404477983682	True	computed_from_matched_predictions	0.5502857142857143
0.00425883976329775	-0.12539797846849582	0.13907649613899603	0.966	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-ModuleIFNConsensus	EcoNiche-Opt-ModuleIFNConsensus	117	0.6866750471401635	0.6778755499685732	0.5658630078393804	0.5245434755898563	0.28461297679096553	0.1514650082968751	False	computed_from_matched_predictions	0.9659999999999999
0.008996514718352638	-0.12002628916345064	0.14509677993239636	0.9	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-AdaptiveConsensus	EcoNiche-Opt-AdaptiveConsensus	117	0.6866750471401635	0.6731615336266499	0.5658630078393804	0.5196335270591229	0.28461297679096553	0.1368921744590639	False	computed_from_matched_predictions	0.9529411764705882
0.01680112122287277	-0.11327468370212877	0.15182128187243282	0.814	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology_vs_CXCL9	CXCL9	117	0.6866750471401635	0.6656191074795725	0.5658630078393804	0.5169521608871197	0.28461297679096553	0.13808986252382452	True	computed_from_matched_predictions	0.9359999999999999
0.01624179922218341	-0.1142492928975486	0.15018854568854556	0.832	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology_vs_TIG	TIG	117	0.6866750471401635	0.6656191074795725	0.5658630078393804	0.5168752653089108	0.28461297679096553	0.13663482754097397	True	computed_from_matched_predictions	0.9359999999999999
0.01819049408226674	-0.11717724867724864	0.15991595981755993	0.802	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology_vs_IFNG	IFNG	117	0.6866750471401635	0.6643620364550596	0.5658630078393804	0.5120861576692182	0.28461297679096553	0.13531512901356266	True	computed_from_matched_predictions	0.9359999999999999
0.01794544218837713	-0.11657451154454569	0.15678358208955206	0.788	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology_vs_APM	APM	117	0.6866750471401635	0.6637335009428034	0.5658630078393804	0.48783872828045893	0.28461297679096553	0.13641855938444358	True	computed_from_matched_predictions	0.9359999999999999
0.026520204702855155	-0.1089101508916324	0.16112354169610738	0.692	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-ModulePriorFixed-Platt	EcoNiche-Opt-ModulePriorFixed-Platt	117	0.6866750471401635	0.6552482715273412	0.5658630078393804	0.4877455053893849	0.28461297679096553	0.14865713902293257	False	computed_from_matched_predictions	0.9359999999999999
0.027450460113835604	-0.11014443136762313	0.16302612077882267	0.704	primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology_vs_TIDE_dysfunction	TIDE_dysfunction	117	0.6866750471401635	0.6546197360150849	0.5658630078393804	0.5271690269213777	0.28461297679096553	0.1271748862850858	True	computed_from_matched_predictions	0.9359999999999999
