accession	section	filename	url	remote_size	local_path	status	reason
GSE115821	suppl	GSE115821_MGH_counts.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115821/suppl/GSE115821_MGH_counts.csv.gz	6063556	data\raw\GSE115821\suppl\GSE115821_MGH_counts.csv.gz	already_exists	
GSE93157	matrix	GSE93157_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93157/matrix/GSE93157_series_matrix.txt.gz	244536	data\raw\GSE93157\matrix\GSE93157_series_matrix.txt.gz	already_exists	
GSE93157	suppl	GSE93157_raw_data_values.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93157/suppl/GSE93157_raw_data_values.txt.gz	84883	data\raw\GSE93157\suppl\GSE93157_raw_data_values.txt.gz	already_exists	
GSE244982	matrix	GSE244982_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244982/matrix/GSE244982_series_matrix.txt.gz	3605	data\raw\GSE244982\matrix\GSE244982_series_matrix.txt.gz	already_exists	
GSE244982	suppl	GSE244982_ProcessedData_bulkRNAseq.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244982/suppl/GSE244982_ProcessedData_bulkRNAseq.txt.gz	1788575	data\raw\GSE244982\suppl\GSE244982_ProcessedData_bulkRNAseq.txt.gz	already_exists	
GSE136961	matrix	GSE136961_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136961/matrix/GSE136961_series_matrix.txt.gz	4303	data\raw\GSE136961\matrix\GSE136961_series_matrix.txt.gz	already_exists	
GSE136961	suppl	GSE136961_TPM.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136961/suppl/GSE136961_TPM.tsv.gz	69871	data\raw\GSE136961\suppl\GSE136961_TPM.tsv.gz	already_exists	
GSE136961	suppl	GSE136961_raw_count.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136961/suppl/GSE136961_raw_count.tsv.gz	29952	data\raw\GSE136961\suppl\GSE136961_raw_count.tsv.gz	already_exists	
GSE176307	matrix	GSE176307_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176307/matrix/GSE176307_series_matrix.txt.gz	10300	data\raw\GSE176307\matrix\GSE176307_series_matrix.txt.gz	already_exists	
GSE176307	suppl	GSE176307_BACI_Omniseq_Sample_Name_Key_submitted_GEO_v2.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176307/suppl/GSE176307_BACI_Omniseq_Sample_Name_Key_submitted_GEO_v2.csv.gz	530	data\raw\GSE176307\suppl\GSE176307_BACI_Omniseq_Sample_Name_Key_submitted_GEO_v2.csv.gz	already_exists	
GSE176307	suppl	GSE176307_BACI_log_trans_normalized_RNAseq.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176307/suppl/GSE176307_BACI_log_trans_normalized_RNAseq.csv.gz	6880837	data\raw\GSE176307\suppl\GSE176307_BACI_log_trans_normalized_RNAseq.csv.gz	already_exists	
GSE176307	suppl	GSE176307_baci_rsem_RS_BACI_headers_tab.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176307/suppl/GSE176307_baci_rsem_RS_BACI_headers_tab.txt.gz	20150496	data\raw\GSE176307\suppl\GSE176307_baci_rsem_RS_BACI_headers_tab.txt.gz	already_exists	
GSE176307	suppl	GSE176307_salmon_tpm_gene.matrix.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176307/suppl/GSE176307_salmon_tpm_gene.matrix.tsv.gz	10131698	data\raw\GSE176307\suppl\GSE176307_salmon_tpm_gene.matrix.tsv.gz	already_exists	
GSE67501	matrix	GSE67501_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67501/matrix/GSE67501_series_matrix.txt.gz	1029286	data\raw\GSE67501\matrix\GSE67501_series_matrix.txt.gz	already_exists	
GSE67501	suppl	GSE67501_Non-normalized_data.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67501/suppl/GSE67501_Non-normalized_data.txt.gz	1877248	data\raw\GSE67501\suppl\GSE67501_Non-normalized_data.txt.gz	already_exists	
GSE121810	matrix	GSE121810_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121810/matrix/GSE121810_series_matrix.txt.gz	3317	data\raw\GSE121810\matrix\GSE121810_series_matrix.txt.gz	already_exists	
