dataset_id	accession	source	kind	url	filename	required	local_path	status	http_status	content_length	bytes_local	sha256	checked_utc	reason
TCGA_SKCM_Xena_HiSeqV2	TCGA_SKCM_Xena	UCSC_Xena_TCGA_legacy_hub	expression	https://tcga.xenahubs.net/download/TCGA.SKCM.sampleMap/HiSeqV2.gz	TCGA.SKCM.HiSeqV2.gz	True	D:\EcoNiche-Opt\data\raw\TCGA_SKCM_Xena\TCGA.SKCM.HiSeqV2.gz	EXISTING	200	25196992	25196992	a91c9743ada24a54bd737aed0bfb452cb91b135c27c8c8b1d5fabe1a18f09e13	2026-05-05T04:47:31.806212+00:00	
TCGA_SKCM_Xena_clinicalMatrix	TCGA_SKCM_Xena	UCSC_Xena_TCGA_legacy_hub	clinical	https://tcga.xenahubs.net/download/TCGA.SKCM.sampleMap/SKCM_clinicalMatrix	TCGA.SKCM.clinicalMatrix.tsv	True	D:\EcoNiche-Opt\data\raw\TCGA_SKCM_Xena\TCGA.SKCM.clinicalMatrix.tsv	EXISTING	200	393941	393941	323994d361c0a7e455b54b78a5ecc8787cbfd7ff4d581b6282cb2f12b48bec20	2026-05-05T04:47:33.952211+00:00	
GDC_TCGA_SKCM_STAR_TPM_Xena	GDC_TCGA_SKCM	UCSC_Xena_GDC_hub	expression	https://gdc.xenahubs.net/download/TCGA-SKCM.star_tpm.tsv.gz	GDC_TCGA_SKCM.star_tpm.tsv.gz	False	D:\EcoNiche-Opt\data\raw\TCGA_SKCM_Xena\GDC_TCGA_SKCM.star_tpm.tsv.gz	EXISTING	200	126448471	126448471	09be254086cabbdbe7ef2ef5e1d8f497eaee0c03591f3f86bf49d0dc9ec70b6f	2026-05-05T04:47:36.236224+00:00	
GDC_TCGA_SKCM_STAR_counts_API_manifest	GDC_TCGA_SKCM	GDC_API_files_endpoint	manifest	https://api.gdc.cancer.gov/files	GDC_TCGA_SKCM_STAR_counts_manifest.tsv	False	D:\EcoNiche-Opt\data\raw\TCGA_SKCM_Xena\GDC_TCGA_SKCM_STAR_counts_manifest.tsv	PASS	200		106374	931d83c3b2bfd986f1dabf054b3df8774ca12c6070b4f285a05b6dd226e26b85	2026-05-05T04:47:38.118685+00:00	473 GDC STAR-count files listed
