AUROC	AUPRC	balanced_accuracy	MCC	F1	Brier	cohort	model_name	endpoint	n_samples	n_features
0.6666666666666667	0.41666666666666663	0.5833333333333333	0.14907119849998599	0.4	0.17920515367326567	GSE115821	ML_Logistic_L2	response_positive_primary_recist	8	225
0.33333333333333337	0.29166666666666663	0.5	0.0	0.3333333333333333	0.250420229888388	GSE115821	ML_Logistic_L1	response_positive_primary_recist	8	225
0.7500000000000001	0.5	0.5	0.0	0.0	0.17968903738832687	GSE115821	ML_RandomForest	response_positive_primary_recist	8	225
0.8333333333333334	0.75	0.5	0.0	0.0	0.1859136440796183	GSE115821	ML_ExtraTrees	response_positive_primary_recist	8	225
0.5833333333333334	0.3666666666666667	0.5	0.0	0.0	0.17796690762043	GSE115821	ML_XGBoost	response_positive_primary_recist	8	225
0.5	0.325	0.5	0.0	0.3333333333333333	0.25153942536451135	GSE115821	ML_LightGBM	response_positive_primary_recist	8	225
0.7962962962962962	0.8048340548340549	0.6805555555555556	0.4195731958391368	0.5714285714285714	0.18912085805808534	GSE136961	ML_Logistic_L2	response_positive_primary_recist	21	225
0.6620370370370371	0.7270522687189354	0.4861111111111111	-0.046829290579084706	0.5714285714285714	0.25001611965206316	GSE136961	ML_Logistic_L1	response_positive_primary_recist	21	225
0.5462962962962963	0.5472886762360447	0.5555555555555556	0.25819888974716115	0.2	0.24286981066776656	GSE136961	ML_RandomForest	response_positive_primary_recist	21	225
0.7962962962962964	0.8006915436739999	0.75	0.5095246653650681	0.7058823529411765	0.2336198749724688	GSE136961	ML_ExtraTrees	response_positive_primary_recist	21	225
0.6388888888888888	0.6080465286347639	0.5138888888888888	0.027777777777777776	0.4444444444444444	0.23415981233119965	GSE136961	ML_XGBoost	response_positive_primary_recist	21	225
0.537037037037037	0.5308221099887767	0.5	0.0	0.6	0.2858879912737154	GSE136961	ML_LightGBM	response_positive_primary_recist	21	225
0.3611111111111111	0.34858687064569416	0.38888888888888884	-0.25819888974716115	0.3076923076923077	0.4646014694696314	GSE140901	ML_Logistic_L2	response_positive_primary_recist	24	225
0.5462962962962963	0.4125180375180375	0.4722222222222222	-0.07273929674533079	0.37037037037037035	0.2503105661997529	GSE140901	ML_Logistic_L1	response_positive_primary_recist	24	225
0.3425925925925926	0.3480567841980885	0.5	0.0	0.0	0.21017611793474103	GSE140901	ML_RandomForest	response_positive_primary_recist	24	225
0.41666666666666663	0.36090880796763153	0.5833333333333334	0.36115755925730764	0.2857142857142857	0.21207848885916683	GSE140901	ML_ExtraTrees	response_positive_primary_recist	24	225
0.37037037037037035	0.3518227350228629	0.5833333333333334	0.36115755925730764	0.2857142857142857	0.21139800548553467	GSE140901	ML_XGBoost	response_positive_primary_recist	24	225
0.25925925925925924	0.1989753905514775	0.5	0.0	0.4	0.3383786280030785	GSE140901	ML_LightGBM	response_positive_primary_recist	24	225
0.7958333333333333	0.6959137983412029	0.75	0.4879500364742666	0.6923076923076923	0.20127508806221278	GSE165252	ML_Logistic_L2	response_positive_primary_recist	32	225
