method	gene	group	external_AUROC	external_AUPRC	external_BA	direction	primary_AUROC	primary_AUPRC	primary_BA
z	HSF5	strict_phs_gse	0.475297619047619	0.5305772254479033	0.5071428571428571	1.0	0.7402576995600252	0.6097604381422406	0.7080452545568825
z	HSF5	phs_only	0.46174242424242423	0.5127968546547763	0.5054924242424242	1.0	0.7402576995600252	0.6097604381422406	0.7080452545568825
z	HSF5	gse145996_only	0.7000000000000001	0.8076923076923077	0.5625	1.0	0.7402576995600252	0.6097604381422406	0.7080452545568825
z	RP1	strict_phs_gse	0.5595238095238095	0.5412252257962862	0.5630952380952381	-1.0	0.7313010685103708	0.636453648664763	0.7126021370207416
z	RP1	phs_only	0.5640151515151516	0.5337306197177537	0.5566287878787879	-1.0	0.7313010685103708	0.636453648664763	0.7126021370207416
z	RP1	gse145996_only	0.525	0.6337412587412588	0.5375	-1.0	0.7313010685103708	0.636453648664763	0.7126021370207416
z	SLC6A12	strict_phs_gse	0.5132440476190476	0.4897626175427192	0.5023809523809524	1.0	0.7294154619736015	0.6268370502611664	0.6626335637963545
z	SLC6A12	phs_only	0.5327651515151515	0.4957370779788285	0.5121212121212121	1.0	0.7294154619736015	0.6268370502611664	0.6626335637963545
z	SLC6A12	gse145996_only	0.27499999999999997	0.5234508547008547	0.425	1.0	0.7294154619736015	0.6268370502611664	0.6626335637963545
pct	HSF5	strict_phs_gse	0.48854166666666665	0.5487187812548279	0.48214285714285715	1.0	0.715744814582024	0.5617110001216685	0.7148020113136393
pct	HSF5	phs_only	0.46174242424242423	0.5127968546547763	0.465530303030303	1.0	0.715744814582024	0.5617110001216685	0.7148020113136393
pct	HSF5	gse145996_only	0.7000000000000001	0.8076923076923077	0.65	1.0	0.715744814582024	0.5617110001216685	0.7148020113136393
pct	SLC6A12	strict_phs_gse	0.5066964285714286	0.48390834733893545	0.5	1.0	0.7105593966059082	0.608833926621874	0.6539912005028284
pct	SLC6A12	phs_only	0.5327651515151515	0.4957370779788285	0.5240530303030303	1.0	0.7105593966059082	0.608833926621874	0.6539912005028284
pct	SLC6A12	gse145996_only	0.27499999999999997	0.5234508547008547	0.2875	1.0	0.7105593966059082	0.608833926621874	0.6539912005028284
pct	ZFP42	strict_phs_gse	0.4267857142857143	0.4453639040306041	0.47261904761904766	-1.0	0.7094594594594595	0.5602315121811905	0.4795725958516657
pct	ZFP42	phs_only	0.44431818181818183	0.4384819068040625	0.4674242424242424	-1.0	0.7094594594594595	0.5602315121811905	0.4795725958516657
pct	ZFP42	gse145996_only	0.5	0.6153846153846154	0.5	-1.0	0.7094594594594595	0.5602315121811905	0.4795725958516657
rz	IL36B	strict_phs_gse	0.5053571428571428	0.48545663728286237	0.5	-1.0	0.7086737900691389	0.5585699181315161	0.6037083595223129
rz	IL36B	phs_only	0.49696969696969695	0.46451854978659535	0.5	-1.0	0.7086737900691389	0.5585699181315161	0.6037083595223129
rz	IL36B	gse145996_only	0.6125	0.6771978021978022	0.5	-1.0	0.7086737900691389	0.5585699181315161	0.6037083595223129
z	CLEC17A	strict_phs_gse	0.5425595238095238	0.5695628989872344	0.5333333333333333	1.0	0.7077309868007542	0.597104506082507	0.6847894406033941
z	CLEC17A	phs_only	0.5303030303030303	0.5454562501585966	0.5354166666666667	1.0	0.7077309868007542	0.597104506082507	0.6847894406033941
z	CLEC17A	gse145996_only	0.5	0.6755608974358974	0.5625	1.0	0.7077309868007542	0.597104506082507	0.6847894406033941
pct	GCH1	strict_phs_gse	0.5635416666666666	0.5715262246744207	0.5636904761904762	1.0	0.707416719044626	0.5835290601011869	0.6191074795725959
pct	GCH1	phs_only	0.5672348484848485	0.554760360651836	0.5524621212121212	1.0	0.707416719044626	0.5835290601011869	0.6191074795725959
pct	GCH1	gse145996_only	0.525	0.7094065656565657	0.65	1.0	0.707416719044626	0.5835290601011869	0.6191074795725959
z	GCH1	strict_phs_gse	0.5635416666666666	0.5755006105501448	0.5577380952380953	1.0	0.7071024512884978	0.5723931988034354	0.6191074795725959
z	GCH1	phs_only	0.5672348484848485	0.554760360651836	0.5486742424242425	1.0	0.7071024512884978	0.5723931988034354	0.6191074795725959
z	GCH1	gse145996_only	0.525	0.7094065656565657	0.65	1.0	0.7071024512884978	0.5723931988034354	0.6191074795725959
rz	FAM209B	strict_phs_gse	0.5270833333333333	0.5401154115158261	0.5208333333333333	1.0	0.7067881835323695	0.598749331740651	0.595065996228787
rz	FAM209B	phs_only	0.553409090909091	0.5890136378085227	0.5537878787878788	1.0	0.7067881835323695	0.598749331740651	0.595065996228787
rz	FAM209B	gse145996_only	0.35	0.5408997252747253	0.2625	1.0	0.7067881835323695	0.598749331740651	0.595065996228787
rz	WNT1	strict_phs_gse	0.49925595238095233	0.4884764361529052	0.4779761904761905	1.0	0.7066310496543055	0.6109699936914652	0.6228786926461345
rz	WNT1	phs_only	0.49715909090909094	0.47702846389852555	0.48617424242424245	1.0	0.7066310496543055	0.6109699936914652	0.6228786926461345
rz	WNT1	gse145996_only	0.425	0.5865384615384616	0.425	1.0	0.7066310496543055	0.6109699936914652	0.6228786926461345
rz	EFCAB3	strict_phs_gse	0.5410714285714285	0.5045335591133004	0.5	-1.0	0.7055311125078567	0.601303349373917	0.5707102451288497
rz	EFCAB3	phs_only	0.5386363636363636	0.48636786806756216	0.5	-1.0	0.7055311125078567	0.601303349373917	0.5707102451288497
rz	EFCAB3	gse145996_only	0.6125	0.6771978021978022	0.5	-1.0	0.7055311125078567	0.601303349373917	0.5707102451288497
z	SIRPG	strict_phs_gse	0.5910714285714286	0.6057125545692188	0.5619047619047619	1.0	0.7055311125078567	0.5668669632224564	0.5875235700817096
z	SIRPG	phs_only	0.5761363636363637	0.5714373372122069	0.549810606060606	1.0	0.7055311125078567	0.5668669632224564	0.5875235700817096
z	SIRPG	gse145996_only	0.675	0.8184523809523809	0.6875	1.0	0.7055311125078567	0.5668669632224564	0.5875235700817096
pct	CLEC17A	strict_phs_gse	0.5279761904761904	0.5594876619187102	0.5172619047619048	1.0	0.7049025769956003	0.5769009454556954	0.6847894406033941
pct	CLEC17A	phs_only	0.5303030303030303	0.5454562501585966	0.5240530303030303	1.0	0.7049025769956003	0.5769009454556954	0.6847894406033941
pct	CLEC17A	gse145996_only	0.5	0.6755608974358974	0.45	1.0	0.7049025769956003	0.5769009454556954	0.6847894406033941
z	SMPD2	strict_phs_gse	0.5525297619047619	0.5065091898895842	0.5244047619047619	1.0	0.7049025769956003	0.5686462885479722	0.6596480201131364
z	SMPD2	phs_only	0.5494318181818182	0.4933644758521814	0.5214015151515151	1.0	0.7049025769956003	0.5686462885479722	0.6596480201131364
z	SMPD2	gse145996_only	0.5499999999999999	0.6667478354978356	0.55	1.0	0.7049025769956003	0.5686462885479722	0.6596480201131364
rz	MFAP2	strict_phs_gse	0.5529761904761904	0.5418413184116714	0.5732142857142857	-1.0	0.7039597737272156	0.5655483677721123	0.6239786297925832
rz	MFAP2	phs_only	0.5613636363636363	0.5330860022826049	0.5732954545454545	-1.0	0.7039597737272156	0.5655483677721123	0.6239786297925832
rz	MFAP2	gse145996_only	0.5	0.6891254578754579	0.55	-1.0	0.7039597737272156	0.5655483677721123	0.6239786297925832
