endpoint	stratum	baseline_model	n_samples	target_AUROC	baseline_AUROC	delta_AUROC	bootstrap_mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
primary_recist	melanoma_anti_pd1_primary	IFNG	160	0.6624423963133641	0.619486504279131	0.04295589203423311	0.04245654937355832	-0.0024406834300451526	0.08774272084481302	0.066	0.15054545454545454	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	CXCL9	160	0.6624423963133641	0.6254114549045425	0.03703094140882157	0.03700794058173395	-0.011414346309403972	0.08183706393749467	0.158	0.20314285714285713	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	TIG	160	0.6624423963133641	0.6259052007899935	0.03653719552337065	0.0362466427723204	-0.004268310229946287	0.07636863313990978	0.084	0.15054545454545454	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	TIDE_dysfunction	160	0.6624423963133641	0.6120803159973667	0.050362080315997426	0.04897156900363128	0.004488952924590728	0.09381472042764559	0.03	0.12240000000000002	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	APM	160	0.6624423963133641	0.6137261356155366	0.04871626069782753	0.048429734740334525	-0.011674697052734185	0.11141466298137237	0.128	0.17723076923076925	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	CYT	160	0.6624423963133641	0.6076366030283081	0.05480579328505597	0.0535919418471008	0.0005064584979309783	0.09946234117581372	0.046	0.13799999999999998	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	IPRES	160	0.6624423963133641	0.5146477946017116	0.14779460171165248	0.14680369734494275	0.019422648711106237	0.2731180736933143	0.024	0.12240000000000002	point_estimate_only
primary_recist	melanoma_anti_pd1_primary	TIDE_exclusion	160	0.6624423963133641	0.499341672152732	0.1631007241606321	0.16244759842506293	0.02913068123116956	0.29563747117338945	0.016	0.12240000000000002	point_estimate_only
primary_recist	melanoma_recist_supported_primary	IFNG	131	0.6808823529411765	0.6397058823529411	0.04117647058823537	0.041042000307040555	-0.0048954086045419724	0.08840552178318138	0.08	0.16	point_estimate_only
primary_recist	melanoma_recist_supported_primary	CXCL9	131	0.6808823529411765	0.649264705882353	0.03161764705882353	0.03108234284139728	-0.018132710189113298	0.08124500172459578	0.228	0.2736	point_estimate_only
primary_recist	melanoma_recist_supported_primary	TIG	131	0.6808823529411765	0.6443627450980393	0.036519607843137236	0.036305088781856835	-0.0026146419641721475	0.07865608549406446	0.064	0.14400000000000002	point_estimate_only
primary_recist	melanoma_recist_supported_primary	TIDE_dysfunction	131	0.6808823529411765	0.6455882352941177	0.03529411764705881	0.03520513883756222	-0.009008918296892928	0.08015763150921816	0.134	0.1851428571428571	point_estimate_only
primary_recist	melanoma_recist_supported_primary	APM	131	0.6808823529411765	0.6419117647058823	0.0389705882352942	0.039020622523980766	-0.028867546630704583	0.1071217377715267	0.244	0.27449999999999997	point_estimate_only
primary_recist	melanoma_recist_supported_primary	CYT	131	0.6808823529411765	0.6242647058823529	0.05661764705882355	0.0557285620600931	0.00843877679896438	0.10690715517754118	0.008	0.07200000000000001	point_estimate_only
primary_recist	melanoma_recist_supported_primary	IPRES	131	0.6808823529411765	0.5732843137254903	0.10759803921568623	0.10413816906168455	-0.027187791697649198	0.23636500449236297	0.114	0.1851428571428571	point_estimate_only
primary_recist	melanoma_recist_supported_primary	TIDE_exclusion	131	0.6808823529411765	0.5392156862745099	0.1416666666666666	0.13887184912501957	-0.0009959614359494134	0.2739222014189989	0.052	0.1337142857142857	point_estimate_only
primary_recist	melanoma_core_high_evidence	IFNG	117	0.7039597737272156	0.6643620364550596	0.039597737272155986	0.04058127165560041	-0.005972603833068998	0.08787557527942147	0.09	0.1246153846153846	point_estimate_only
primary_recist	melanoma_core_high_evidence	CXCL9	117	0.7039597737272156	0.6656191074795725	0.038340666247643096	0.039191898796206444	-0.00922300738477208	0.08954527259364257	0.142	0.18257142857142855	point_estimate_only
primary_recist	melanoma_core_high_evidence	TIG	117	0.7039597737272156	0.6656191074795725	0.038340666247643096	0.038632576795517085	0.00036678366383195444	0.07652425044091711	0.048	0.096	point_estimate_only
primary_recist	melanoma_core_high_evidence	TIDE_dysfunction	117	0.7039597737272156	0.6546197360150849	0.04934003771213069	0.049841237687169276	0.0012235157230734873	0.09995626949004464	0.046	0.096	point_estimate_only
primary_recist	melanoma_core_high_evidence	APM	117	0.7039597737272156	0.6637335009428034	0.040226272784412265	0.040336219761710805	-0.030010801524120577	0.1094748985185443	0.248	0.29760000000000003	point_estimate_only
primary_recist	melanoma_core_high_evidence	CYT	117	0.7039597737272156	0.6297925832809553	0.0741671904462603	0.07456596112813042	0.02643365565404245	0.12857440858243158	0.004	0.018000000000000002	FDR_supported
primary_recist	melanoma_core_high_evidence	IPRES	117	0.7039597737272156	0.5669390320553112	0.13702074167190448	0.1392043284817437	-0.013160737491877775	0.29234122477864444	0.074	0.12109090909090908	point_estimate_only
