endpoint	stratum	model_name	n_samples	n_cohorts	pooled_AUROC	pooled_AUPRC	pooled_balanced_accuracy	pooled_Brier	pooled_ECE	mean_fold_AUROC	mean_fold_AUPRC	mean_fold_balanced_accuracy	mean_fold_ECE	min_fold_AUROC	max_fold_AUROC	evaluation_modes
clinical_benefit	melanoma_anti_pd1_primary	APM	160	6	0.6075294117647059	0.590159940525187	0.5984313725490196	0.256411170107683	0.11329444400791902	0.616553959995989	0.6172405053170409	0.5262340407177364	0.2874861353926597	0.48148148148148145	0.7350000000000001	LODO
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModulePriorFixed	160	6	0.6	0.6355050893441581	0.5788235294117647	0.3067118497203394	0.29285005254633717	0.5785955315484301	0.6164162772367391	0.5328326454141671	0.3655306254483149	0.39814814814814814	0.6975	LODO
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModulePrior	160	6	0.5938823529411765	0.6203282139672512	0.5749019607843138	0.31896010570672956	0.2670416675518019	0.5784127279054816	0.6138448277852137	0.5713193449063013	0.3635750014609694	0.4074074074074074	0.6900000000000001	LODO
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph	160	6	0.5938823529411765	0.6203282139672512	0.5749019607843138	0.31896010570672956	0.2670416675518019	0.5784127279054816	0.6138448277852137	0.5713193449063013	0.3635750014609694	0.4074074074074074	0.6900000000000001	LODO
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordNoInteraction	160	6	0.5938823529411765	0.6207446140378564	0.5749019607843138	0.3185630387805921	0.2669831508582025	0.5802442297369834	0.6155583919987779	0.5713193449063013	0.3633428564981019	0.4074074074074074	0.6900000000000001	LODO
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordUnsignedGraph	160	6	0.5937254901960785	0.6235177762230464	0.5603921568627451	0.3264029305496857	0.2794039123046208	0.5720569004264656	0.612526237625085	0.5951387893507459	0.35313877774889346	0.3888888888888889	0.695	LODO
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordNoBioObjective	160	6	0.5920000000000001	0.6156816495730629	0.5690196078431373	0.32267067674613925	0.27949560674608626	0.5979876779152141	0.6196930618110449	0.5819855536975101	0.35577302315741455	0.4074074074074074	0.69	LODO
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModulePriorFixed-Platt	160	6	0.5893333333333333	0.6049107351310968	0.5788235294117647	0.24397413807424048	0.050033661949261544	0.5785955315484301	0.6164162772367391	0.5328326454141671	0.14401324210033045	0.39814814814814814	0.6975	LODO
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	160	6	0.5891764705882352	0.6065730338046772	0.5537254901960784	0.26634414783626514	0.15012783639036312	0.5708354125745431	0.6050058395259211	0.5305934021694891	0.24494050192750103	0.4444444444444444	0.6799999999999999	LODO
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	160	6	0.587764705882353	0.6070970280630984	0.5537254901960784	0.270733860997075	0.16930150756861542	0.5848725026985897	0.6129919369139634	0.520789271115358	0.2865371623683773	0.41666666666666663	0.7500000000000001	LODO
clinical_benefit	melanoma_anti_pd1_primary	CXCL9	160	6	0.5832156862745098	0.5989886797282954	0.5572549019607843	0.26547512643688603	0.14231500448385342	0.5436653557124572	0.5861257292585514	0.5229487843074799	0.2775861669191317	0.4629629629629629	0.6625000000000001	LODO
clinical_benefit	melanoma_anti_pd1_primary	TIG	160	6	0.5832156862745098	0.6035980061407793	0.527843137254902	0.2667587130145454	0.16639696862193434	0.5851538859691033	0.6111058287903757	0.4954173744934614	0.2580737564764921	0.5164835164835164	0.6666666666666667	LODO
clinical_benefit	melanoma_anti_pd1_primary	TIDE_dysfunction	160	6	0.5813333333333334	0.6058398905417317	0.5435294117647059	0.26724274077027355	0.15475370825013293	0.5895980354857167	0.6106118100534615	0.5194792496151192	0.266126892529625	0.42592592592592593	0.6725	LODO
clinical_benefit	melanoma_anti_pd1_primary	IFNG	160	6	0.5803921568627451	0.5995536524916448	0.5588235294117647	0.26635738577920265	0.13336167072077332	0.5814977246317826	0.6085917436778593	0.532552843694148	0.2339326222117395	0.46296296296296297	0.7500000000000001	LODO
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	160	6	0.5769411764705882	0.5884765129727771	0.5286274509803921	0.2649875473634652	0.15200212080689324	0.6175529100529101	0.6235002214422215	0.5355510542195324	0.2885213729740724	0.4945054945054945	0.8333333333333334	LODO
clinical_benefit	melanoma_anti_pd1_primary	CYT	160	6	0.5673725490196079	0.5858665351364246	0.5513725490196079	0.2711172417607792	0.16498777587907104	0.5508379342074995	0.5907807913917521	0.5458304909663605	0.24183338703402238	0.41666666666666663	0.7111111111111111	LODO
clinical_benefit	melanoma_anti_pd1_primary	PDCD1LG2	160	6	0.5615686274509804	0.5810203750714886	0.5513725490196079	0.27105831902568545	0.1737328084849805	0.5968635678599447	0.6408186968123698	0.5264707424218293	0.2641524888007957	0.46153846153846156	0.9166666666666667	LODO
clinical_benefit	melanoma_anti_pd1_primary	TIDE_exclusion	160	6	0.5007058823529411	0.5076649639471131	0.5070588235294118	0.2964001159769891	0.18729384403882451	0.48009718609356283	0.5281330343858343	0.5053801251083859	0.2837253827938994	0.3148148148148148	0.6923076923076923	LODO
clinical_benefit	melanoma_anti_pd1_primary	IPRES	160	6	0.4829803921568627	0.5233946374274157	0.46705882352941175	0.3013971477205366	0.21752111266853125	0.42919079176325553	0.5316022061803571	0.4913416635699244	0.29985350619935874	0.16666666666666663	0.7527472527472527	LODO
clinical_benefit	melanoma_binary_response_stress	PDCD1LG2	29	2	0.6414141414141414	0.5056528908801635	0.6237373737373737	0.2524680568867025	0.16742823346015567	0.7268518518518519	0.6599414503052274	0.7569444444444444	0.2772444356342288	0.537037037037037	0.9166666666666667	LODO
clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-ImmuneComposite	29	2	0.5808080808080809	0.4251678273417404	0.5328282828282829	0.26526392002445887	0.24575792074119318	0.6805555555555556	0.520140480434598	0.5	0.3729465568566098	0.5277777777777778	0.8333333333333334	LODO
clinical_benefit	melanoma_binary_response_stress	TIG	29	2	0.5505050505050505	0.40555301423722473	0.4873737373737374	0.28508108034936375	0.22073522020582598	0.5972222222222223	0.4484662215054372	0.5694444444444444	0.2984217715921307	0.5277777777777778	0.6666666666666667	LODO
clinical_benefit	melanoma_binary_response_stress	CYT	29	2	0.5202020202020202	0.39785379426527745	0.5505050505050505	0.2895952834393445	0.2246045841964129	0.4722222222222222	0.38972663139329805	0.5555555555555556	0.27665926832500337	0.41666666666666663	0.5277777777777778	LODO
clinical_benefit	melanoma_binary_response_stress	IFNG	29	2	0.5151515151515151	0.3939809586548717	0.4873737373737374	0.28988540362205795	0.22367597333297023	0.6064814814814815	0.4666102416102416	0.5347222222222223	0.3082230108194183	0.46296296296296297	0.7500000000000001	LODO
clinical_benefit	melanoma_binary_response_stress	APM	29	2	0.49999999999999994	0.37764515842184543	0.5505050505050505	0.30144718913246876	0.33785404761076915	0.5740740740740741	0.4376517273576097	0.5347222222222222	0.3752119917974147	0.48148148148148145	0.6666666666666667	LODO
clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-AdaptiveConsensus	29	2	0.4949494949494949	0.3770461507303613	0.4873737373737374	0.2995663903939795	0.2476318189831844	0.5555555555555556	0.42715790019711586	0.5416666666666667	0.2818402033488565	0.4444444444444444	0.6666666666666667	LODO
clinical_benefit	melanoma_binary_response_stress	CXCL9	29	2	0.48989898989898994	0.37451829216535104	0.4318181818181818	0.293259696244781	0.2844178858350362	0.48148148148148145	0.40143467643467645	0.4791666666666667	0.30908928031735217	0.4629629629629629	0.5	LODO
clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-ModulePriorFixed-Platt	29	2	0.48989898989898994	0.39120135657568816	0.4595959595959596	0.2820700223162559	0.29413411604972656	0.44907407407407407	0.3891297547386299	0.4861111111111111	0.33839618850274733	0.39814814814814814	0.5	LODO
clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-ModuleIFNConsensus	29	2	0.48989898989898983	0.37540741104814335	0.4873737373737374	0.3074021884087589	0.3119356225743206	0.5833333333333334	0.44558335469713173	0.5	0.4072026442271344	0.41666666666666663	0.7500000000000001	LODO
