state	gene	direction	selection_frequency	cell_state_prior	coefficient
antigen_presentation_mhc	CD3E	-1	0.5051834173467381		-0.21840150678744014
antigen_presentation_mhc	HLA-A	1	0.9912785926477518	0.9	-0.21840150678744014
antigen_presentation_mhc	HLA-B	1	0.9886841457211428	0.9	-0.21840150678744014
antigen_presentation_mhc	PSMB9	-1	0.5031229376127954		-0.21840150678744014
antigen_presentation_mhc	TAP1	-1	1.0	0.9	-0.21840150678744014
caf_ecm_exclusion	CD3D	-1	0.5		1.4763583418788386
caf_ecm_exclusion	CD3E	-1	0.5051834173467381		1.4763583418788386
caf_ecm_exclusion	ITGB7	-1	0.5001363056961753		1.4763583418788386
caf_ecm_exclusion	PSMB9	-1	0.5031229376127954		1.4763583418788386
caf_ecm_exclusion	TGFB1	1	1.0	0.9	1.4763583418788386
myeloid_suppression	CD163	1	0.5324885397757009	0.9	0.7447109469604501
myeloid_suppression	IL10	1	1.0	0.9	0.7447109469604501
myeloid_suppression	LILRB2	-1	0.5801196263192396	0.9	0.7447109469604501
myeloid_suppression	S100A8	-1	0.5	0.9	0.7447109469604501
myeloid_suppression	S100A9	1	0.7113203623281403	0.9	0.7447109469604501
tcell_dysfunction	CD3E	-1	0.5051834173467381		0.10638939226501659
tcell_dysfunction	HAVCR2	-1	0.9914328007384431	0.9	0.10638939226501659
tcell_dysfunction	LAG3	-1	1.0	0.9	0.10638939226501659
tcell_dysfunction	PDCD1	-1	0.9889978446390348	0.9	0.10638939226501659
tcell_dysfunction	TIGIT	-1	0.992498087668382	0.9	0.10638939226501659
tnk_effector	GNLY	-1	0.5793176276898976	0.9	-0.4294218140415472
tnk_effector	GZMB	-1	0.8792915303493127	0.9	-0.4294218140415472
tnk_effector	IFNG	1	0.5	0.9	-0.4294218140415472
tnk_effector	NKG7	-1	1.0	0.9	-0.4294218140415472
tnk_effector	PRF1	-1	0.8657104577375118	0.9	-0.4294218140415472
tumor_dedifferentiation	AXL	1	0.9996059469600765	0.9	-0.19710249047562167
tumor_dedifferentiation	CD3E	-1	0.5051834173467381		-0.19710249047562167
tumor_dedifferentiation	ITGB7	-1	0.5001363056961753		-0.19710249047562167
tumor_dedifferentiation	PSMB9	-1	0.5031229376127954		-0.19710249047562167
tumor_dedifferentiation	ZEB1	1	1.0	0.9	-0.19710249047562167
