endpoint	stratum	target_model	baseline_family	n_samples	target_AUROC	mean_signature_AUROC	mean_delta_vs_signature_family	delta_AUROC_ci_low	delta_AUROC_ci_high	one_sided_p	two_sided_p	n_signatures	two_sided_fdr_q	one_sided_fdr_q	claim_level	target_AUROC_ci_low	target_AUROC_ci_high	target_AUROC_ci_bootstrap_n
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology	eight_strong_signatures	117	0.7049025769956003	0.6317960402262728	0.0734155035879961	0.0315031315812565	0.1121055808865718	0.0006	0.0012	8	0.002	0.001	family_two_sided_FDR_supported	0.6074717417293446	0.7955751130193991	1000
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	eight_strong_signatures	131	0.6845588235294118	0.6196997549019608	0.0644902551972456	0.0245207932583801	0.1026534743929778	0.001	0.002	8	0.002	0.001	family_two_sided_FDR_supported	0.5911678542862724	0.7798958250637311	1000
