endpoint	cohort	analysis_type	model_name	n_samples	n_responders	n_nonresponders	threshold_source	threshold_training_cohorts	threshold	calibration	training_AUROC	training_balanced_accuracy	platform	treatment	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	AUROC_ci_low	AUROC_ci_high	AUROC_ci_bootstrap_n
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	14	8	6	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4377922748557101	discovery_only_platt	0.7049025769956003	0.6742614707730987		Nivo;PEM;Pem	0.5208333333333334	0.7016684704184704	0.3541666666666666	0.3571428571428571	-0.2886751345948128	0.4	0.375	0.3333333333333333	0.4285714285714285	0.2857142857142857	0.258050420113191	0.3873430257322005	0.4855264687054134	0.335844089837844	0.17777777777777778	0.8333333333333334	999
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	IFNG	14	8	6	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.5179178078595991	discovery_only_platt	0.6643620364550596	0.6566624764299183		Nivo;PEM;Pem	0.4166666666666666	0.6492521367521367	0.4583333333333333	0.4285714285714285	-0.0912870929175276	0.3333333333333333	0.25	0.6666666666666666	0.5	0.4	0.2735167379981562	0.2035264541185673	-0.026526876271837	0.2866140763319738	0.08888888888888893	0.7551587301587303	996
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	CXCL9	14	8	6	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4350170639427196	discovery_only_platt	0.6656191074795725	0.6704902576995599		Nivo;PEM;Pem	0.4583333333333333	0.6548347485847485	0.4166666666666666	0.4285714285714285	-0.1666666666666666	0.5	0.5	0.3333333333333333	0.5	0.3333333333333333	0.2639822512251046	0.1478766530585069	0.2080217460652075	0.2981496203852798	0.1107638888888889	0.8	999
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	TIG	14	8	6	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.5101666435173705	discovery_only_platt	0.6656191074795725	0.6382778126964174		Nivo;PEM;Pem	0.4583333333333333	0.6706807081807082	0.4583333333333333	0.4285714285714285	-0.0912870929175276	0.3333333333333333	0.25	0.6666666666666666	0.5	0.4	0.2651299862036601	0.2129682209877942	0.1737453127043695	0.2954378770665494	0.125	0.7916666666666666	999
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	TIDE_dysfunction	14	8	6	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4401769330608997	discovery_only_platt	0.6546197360150849	0.6337209302325582		Nivo;PEM;Pem	0.5625	0.7141369047619047	0.5	0.5	0.0	0.5333333333333333	0.5	0.5	0.5714285714285714	0.4285714285714285	0.2427305016781049	0.241493808042709	0.889191431772948	0.3424931748610159	0.2497222222222222	0.8666666666666667	999
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	APM	14	8	6	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.5435877469046431	discovery_only_platt	0.6637335009428034	0.6604336895034569		Nivo;PEM;Pem	0.5208333333333334	0.7201125263625263	0.6041666666666667	0.5714285714285714	0.2282177322938192	0.5	0.375	0.8333333333333334	0.75	0.5	0.2806442982067645	0.2096843463063344	-0.2579401546221541	0.2766244354686012	0.16666666666666666	0.8571428571428571	1000
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	CYT	14	8	6	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4483932586785114	discovery_only_platt	0.6297925832809553	0.6299497171590195		Nivo;PEM;Pem	0.6041666666666667	0.747849025974026	0.5	0.5	0.0	0.5333333333333333	0.5	0.5	0.5714285714285714	0.4285714285714285	0.2442048206328661	0.1905550815126989	0.8573874970249903	0.3219011298233949	0.27072916666666663	0.9111111111111111	1000
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	IPRES	14	8	6	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4832109065877373	discovery_only_platt	0.5669390320553112	0.5969516027655563		Nivo;PEM;Pem	0.625	0.7387362637362638	0.7291666666666667	0.7142857142857143	0.4583333333333333	0.7142857142857143	0.625	0.8333333333333334	0.8333333333333334	0.625	0.2368543785344554	0.1612736684931696	2.5146398678964625	0.3451706390054104	0.29166666666666663	0.937531887755102	1000
primary_recist	GSE145996	locked_external_melanoma_pd1_recist	TIDE_exclusion	14	8	6	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.475846535812141	discovery_only_platt	0.5436832181018227	0.571024512884978		Nivo;PEM;Pem	0.5	0.6059794372294373	0.4583333333333333	0.5	-0.1005037815259212	0.631578947368421	0.75	0.1666666666666666	0.5454545454545454	0.3333333333333333	0.2533193743422113	0.1115391238607712	-0.6305143562531956	0.2864293217167533	0.1875	0.8501041666666667	1000
primary_recist	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	EcoNiche-Opt-HeuristicEcology-LockedPanel	121	50	71	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4377922748557101	discovery_only_platt	0.7049025769956003	0.6742614707730987		anti-PD-1	0.5349295774647889	0.4943932156513664	0.5335211267605634	0.5289256198347108	0.0660812894803342	0.495575221238938	0.56	0.5070422535211268	0.4444444444444444	0.6206896551724138	0.2619624753043876	0.1447516559291597	0.2446825162711654	-0.3376669078589453	0.42811221103290736	0.6441336819313936	1000
